"Symbol","TokenAddress","TimeStamp","MovementType","Quantity","Countervalue","SymbolCountervalue","UserCountervalue","UserSymbolCountervalue","SourceCountervalue","SourceSymbolCountervalue"
"BNB","","2022-11-25 06:51:05","EXCHANGE_FEE","0.00013166","","","","","",""
"BNB","","2022-11-18 07:19:20","EXCHANGE_FEE","0.00007204","","","","","",""
"BNB","","2022-11-09 06:44:40","EXCHANGE_FEE","0.00006137","","","","","",""
"BNB","","2022-11-02 20:36:49","EXCHANGE_FEE","0.00005785","","","","","",""
"BNB","","2022-10-31 14:50:36","EXCHANGE_FEE","0.00005697","","","","","",""
"BNB","","2022-10-28 06:05:29","EXCHANGE_FEE","0.00013014","","","","","",""
"BNB","","2022-10-24 09:46:29","EXCHANGE_FEE","0.00006684","","","","","",""
"BNB","","2022-10-11 05:42:15","EXCHANGE_FEE","0.00006956","","","","","",""
"BNB","","2022-09-15 17:04:41","EXCHANGE_FEE","0.00027545","","","","","",""
"BNB","","2022-09-13 20:18:34","EXCHANGE_FEE","0.00013329","","","","","",""
"BNB","","2022-09-07 06:27:31","EXCHANGE_FEE","0.00014024","","","","","",""
"BNB","","2022-09-02 06:25:12","EXCHANGE_FEE","0.00013491","","","","","",""
"BNB","","2022-08-26 06:48:10","EXCHANGE_FEE","0.00012562","","","","","",""
"BNB","","2022-08-19 06:38:07","EXCHANGE_FEE","0.00013392","","","","","",""
"BNB","","2022-08-09 14:14:20","EXCHANGE_FEE","0.00012145","","","","","",""
"BNB","","2022-07-07 09:31:07","EXCHANGE_FEE","0.00000900","","","","","",""
"BNB","","2022-07-07 09:31:07","CREDIT","0.01200000","","","","","",""
"BNB","","2022-07-07 09:31:01","EXCHANGE_FEE","0.00003900","","","","","",""
"BNB","","2022-07-07 09:31:01","CREDIT","0.05200000","","","","","",""
"BTC","","2022-12-31 04:00:56","EARN","8.1E-7","","","","","",""
"BTC","","2022-12-30 03:04:20","EARN","8.1E-7","","","","","",""
"BTC","","2022-12-29 03:56:04","EARN","8.1E-7","","","","","",""
"BTC","","2022-12-28 03:37:57","EARN","8.1E-7","","","","","",""
"BTC","","2022-12-27 04:22:41","EARN","8.1E-7","","","","","",""
"BTC","","2022-12-26 03:05:57","EARN","8.1E-7","","","","","",""
"BTC","","2022-12-25 04:15:24","EARN","8.1E-7","","","","","",""
"BTC","","2022-12-24 04:16:45","EARN","8.1E-7","","","","","",""
"BTC","","2022-12-23 03:42:40","EARN","8.1E-7","","","","","",""
"BTC","","2022-12-22 03:33:51","EARN","8.1E-7","","","","","",""
"BTC","","2022-12-21 04:34:22","EARN","0.00000121","","","","","",""
